owl_id,site,datetime,audio_id,selec,start,end,segment_length,filepath_audio
A50,土庫南,2024-04-02 20:18:28 UTC,A50 - 土庫南 - 2024-04-02 20:18:28 UTC,3,11.746036823877523,14.746036823877523,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240402_201828_mUothT5a.wav
A50,土庫南,2024-04-02 20:18:28 UTC,A50 - 土庫南 - 2024-04-02 20:18:28 UTC,4,12.3,15.3,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240402_201828_mUothT5a.wav
A50,土庫南,2024-04-03 21:40:11 UTC,A50 - 土庫南 - 2024-04-03 21:40:11 UTC,1,0.35223771449380337,6.352237714493803,6,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240403_214011_FDM9xaCo.wav
A50,土庫南,2024-04-03 21:40:11 UTC,A50 - 土庫南 - 2024-04-03 21:40:11 UTC,2,12.3,15.3,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240403_214011_FDM9xaCo.wav
A50,土庫南,2024-04-03 23:37:00 UTC,A50 - 土庫南 - 2024-04-03 23:37:00 UTC,1,0,6,6,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240403_233700_2aMZKgUq.wav
A50,土庫南,2024-04-03 23:41:30 UTC,A50 - 土庫南 - 2024-04-03 23:41:30 UTC,1,12.3,15.3,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240403_234130_8ggAdEMh.wav
A50,土庫南,2024-04-03 23:47:55 UTC,A50 - 土庫南 - 2024-04-03 23:47:55 UTC,1,0,3,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240403_234755_SMJMfC5Z.wav
A50,土庫南,2024-04-03 23:47:55 UTC,A50 - 土庫南 - 2024-04-03 23:47:55 UTC,2,12.3,15.3,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240403_234755_SMJMfC5Z.wav
A50,土庫南,2024-04-14 00:06:32 UTC,A50 - 土庫南 - 2024-04-14 00:06:32 UTC,1,0,6,6,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240414_000632_dnYXvn6j.wav
A50,土庫南,2024-07-03 00:09:57 UTC,A50 - 土庫南 - 2024-07-03 00:09:57 UTC,1,0,12,12,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240703_000957_gQixXdBn.wav
A50,土庫南,2024-07-03 00:22:18 UTC,A50 - 土庫南 - 2024-07-03 00:22:18 UTC,1,0.14276198338742851,9.142761983387429,9,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240703_002218_Yb6bkvUF.wav
A50,土庫南,2024-07-03 00:22:18 UTC,A50 - 土庫南 - 2024-07-03 00:22:18 UTC,2,9.3,15.3,6,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240703_002218_Yb6bkvUF.wav
A50,土庫南,2024-07-04 04:18:24 UTC,A50 - 土庫南 - 2024-07-04 04:18:24 UTC,1,0,3,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240704_041824_7jSm9ixW.wav
A50,土庫南,2024-07-04 21:56:27 UTC,A50 - 土庫南 - 2024-07-04 21:56:27 UTC,1,0.4199279270733438,9.419927927073344,9,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240704_215627_cZ2i9ziu.wav
A50,土庫南,2024-07-05 20:47:27 UTC,A50 - 土庫南 - 2024-07-05 20:47:27 UTC,1,0,3,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240705_204727_bcuBPANQ.wav
A50,土庫南,2024-07-05 20:47:27 UTC,A50 - 土庫南 - 2024-07-05 20:47:27 UTC,2,3.2750184152411554,6.2750184152411554,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240705_204727_bcuBPANQ.wav
A50,土庫南,2024-07-06 02:59:39 UTC,A50 - 土庫南 - 2024-07-06 02:59:39 UTC,1,9.3,15.3,6,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20240706_025939_6sDUKPYJ.wav
A50,土庫南,2025-01-29 22:51:35 UTC,A50 - 土庫南 - 2025-01-29 22:51:35 UTC,1,4.146958483111781,7.146958483111781,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20250129_225135_gNbiAZB3.wav
A50,土庫南,2025-01-29 22:51:35 UTC,A50 - 土庫南 - 2025-01-29 22:51:35 UTC,2,6.897631494307731,9.897631494307731,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20250129_225135_gNbiAZB3.wav
A50,土庫南,2025-01-29 23:00:37 UTC,A50 - 土庫南 - 2025-01-29 23:00:37 UTC,1,9.3,15.3,6,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20250129_230037_WbyvpRZJ.wav
A50,土庫南,2025-01-29 23:02:38 UTC,A50 - 土庫南 - 2025-01-29 23:02:38 UTC,1,0,3,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20250129_230238_EKjWrSw8.wav
A50,土庫南,2025-01-29 23:02:38 UTC,A50 - 土庫南 - 2025-01-29 23:02:38 UTC,2,3.1531156959061155,9.153115695906116,6.000000000000001,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20250129_230238_EKjWrSw8.wav
A50,土庫南,2025-01-29 23:02:38 UTC,A50 - 土庫南 - 2025-01-29 23:02:38 UTC,3,12.3,15.3,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20250129_230238_EKjWrSw8.wav
A50,土庫南,2025-01-29 23:07:38 UTC,A50 - 土庫南 - 2025-01-29 23:07:38 UTC,1,0,6,6,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20250129_230738_bGZHcbR4.wav
A50,土庫南,2025-01-29 23:07:38 UTC,A50 - 土庫南 - 2025-01-29 23:07:38 UTC,2,9.3,15.3,6,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20250129_230738_bGZHcbR4.wav
A50,土庫南,2025-02-01 02:49:32 UTC,A50 - 土庫南 - 2025-02-01 02:49:32 UTC,1,0,3,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20250201_024932_fTPpUNio.wav
A50,土庫南,2025-02-01 02:49:32 UTC,A50 - 土庫南 - 2025-02-01 02:49:32 UTC,2,2.3661395171108266,5.366139517110827,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20250201_024932_fTPpUNio.wav
A50,土庫南,2025-02-01 02:49:32 UTC,A50 - 土庫南 - 2025-02-01 02:49:32 UTC,3,6.025559818319987,15.025559818319987,9,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20250201_024932_fTPpUNio.wav
A50,土庫南,2025-02-01 02:59:42 UTC,A50 - 土庫南 - 2025-02-01 02:59:42 UTC,1,0,9,9,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫南A50/3_20250201_025942_RXiK56tQ.wav
A84,有利,2026-03-03 18:58:11 UTC,A84 - 有利 - 2026-03-03 18:58:11 UTC,1,5.933661811575837,8.933661811575837,3,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/有利A84/03030949.wav
