owl_id,site,datetime,audio_id,duration,sampling_rate,channels,bit_depth,format,filepath_video,filepath_audio
A89,土庫北,2025-07-23 19:34:56 UTC,A89 - 土庫北 - 2025-07-23 19:34:56 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫北A89/07230149.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫北A89/07230149.wav
A89,土庫北,2025-07-23 21:20:20 UTC,A89 - 土庫北 - 2025-07-23 21:20:20 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫北A89/07230173.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫北A89/07230173.wav
A89,土庫北,2025-08-07 19:32:48 UTC,A89 - 土庫北 - 2025-08-07 19:32:48 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫北A89/08070046.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫北A89/08070046.wav
A89,土庫北,2025-08-07 19:35:12 UTC,A89 - 土庫北 - 2025-08-07 19:35:12 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫北A89/08070050.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫北A89/08070050.wav
A89,土庫北,2025-08-14 19:13:21 UTC,A89 - 土庫北 - 2025-08-14 19:13:21 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫北A89/08140138.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫北A89/08140138.wav
A89,土庫北,2025-02-07 03:30:52 UTC,A89 - 土庫北 - 2025-02-07 03:30:52 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫北A89/59_20250207_033052_VvUtejUA.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫北A89/59_20250207_033052_VvUtejUA.wav
A89,土庫北,2025-02-12 05:19:42 UTC,A89 - 土庫北 - 2025-02-12 05:19:42 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫北A89/59_20250212_051942_HUj2ZmcY.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫北A89/59_20250212_051942_HUj2ZmcY.wav
A89,土庫北,2025-02-12 05:39:39 UTC,A89 - 土庫北 - 2025-02-12 05:39:39 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫北A89/59_20250212_053939_8fCXC7AG.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫北A89/59_20250212_053939_8fCXC7AG.wav
A89,土庫北,2025-03-12 19:20:39 UTC,A89 - 土庫北 - 2025-03-12 19:20:39 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫北A89/59_20250312_192039_ggPvnAhP.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫北A89/59_20250312_192039_ggPvnAhP.wav
A89,土庫北,2025-03-18 04:26:43 UTC,A89 - 土庫北 - 2025-03-18 04:26:43 UTC,15333,44100,1,16, PCM,E:/2026_eastern_grassowl_Taiwan/TAIGA_video/土庫北A89/59_20250318_042643_c9BZSs3E.MP4,E:/2026_eastern_grassowl_Taiwan/TAIGA_audio/土庫北A89/59_20250318_042643_c9BZSs3E.wav
